pid,nombre,type,country,state,municipality,address,phone,email,web,social_media1,social_media2,,,
org17,Buscador@s de Nuevo León,Colectivo,México,Nuevo León,,,81-35-57-35-08,,,https://www.facebook.com/buscadorxs/,,,,
org18,Buscadoras de Hermosillo por Una Esperanza,Colectivo,México,Sonora,Hermosillo,,,,,https://www.facebook.com/BuscadorasHermosilloPorUnaEsperanza/,https://twitter.com/BuscadorasHillo,,,
org19,Buscadoras Guanajuato,Colectivo,México,Guanajuato,León,,,buscadorasleonguanajuato2020@gmail.com,,https://www.facebook.com/Buscadoras-Gto-104500384801717/,https://twitter.com/buscadoras_gto,,,
org20,Buscadoras por la paz Huatabampo,Colectivo,México,Sonora,Huatabampo,,,,,https://www.facebook.com/groups/902941730492552,,,,
org21,Buscando a Nuestros Desaparecidos Búscame,Colectivo,México,Chihuahua,,,,bdmex19@gmail.com,,https://www.facebook.com/BuscandoDesaparecidosMéxico,https://twitter.com/BUSCAMEMX,,,
org22,Buscando a Nuestros Desaparecidos y Desaparecidas Veracruz,Colectivo,México,Veracruz,,,,,,https://www.facebook.com/Buscando-a-Nuestros-Desaparecidos-y-Desaparecidas-Veracruz-952938734761976/,,,,
org23,Buscando el Camino Hacia Ti A.C.,Colectivo,México,Tamaulipas,,,,buscandoelcaminohaciati.a.c@gmail.com,,https://www.facebook.com/Colectivo-de-b%C3%BAsqueda-Buscando-El-Camino-Hacia-Ti-AC-897245000448518,,,,
org24,Buscando Nuestro Tesoro,Colectivo,México,Baja California Sur ,,,62-41-65-30-74,riana_gal@hotmail.com,https://sites.google.com/view/búsquedaxlapaz/colectivos?authuser=0,https://www.facebook.com/Buscando-nuestro-tesoro-333491780906970/,,,,
org25,Buscando Tus Huellas con Fe y Esperanza,Colectivo,México,Tamaulipas,,,83-41-59-83-34,,,https://www.facebook.com/JorgeHernandeZ27/,,,,
org26,Buscando tus pasos,Colectivo,México,Tamaulipas,,,,,,https://www.facebook.com/groups/568092297617509/,,,,
org27,Buscando tus pasos Michoacán,Colectivo,México,Michoacán,,,,,,https://www.facebook.com/groups/709941419597808/,,,,
org28,"Búsqueda de familiares ""Regresando a Casa Morelos"" A.C.",Colectivo,México,Morelos,,,,regresandoacasa1@gmail.com,,https://www.facebook.com/regresandoacasamorelos/,,,,
org29,Búsqueda los Cabos,Colectivo,México,Baja California Sur ,,,62-41-19-29-42,,,https://www.facebook.com/profile.php?id=100036023469028,,,,
org30,Búsqueda Nacional en Vida,Colectivo,México,,,,55-30-47-53-28,búsquedanacionalenvida@gmail.com,,https://www.facebook.com/B%C3%BAsqueda-Nacional-en-Vida-111628443622167/,,,,
org31,Búsqueda X El Valle,Colectivo,México,Baja California Sur,,,62-42-46-80-21,,,https://www.facebook.com/people/búsqueda-x-el-valle/100063566139032/,,,,
org32,Búsqueda X La Paz,Colectivo,México,Baja California Sur ,,,61-21-53-23-70,,,https://www.facebook.com/ColectivoDebúsquedaDePersonasDesaparecidasDelBCS/,,,,
org33,Caminando por los Ausentes de Tamaulipas A.C,Colectivo,México,Tamaulipas,,,83-41-65-70-76,normis_celeste@hotmail.com,,https://www.facebook.com/Caminando-por-los-Ausentes-de-Tamaulipas-AC-110670630483237/,,,,
org34,CEDIMAC,Colectivo,México,Chihuahua,Ciudad Juárez,,,,,https://www.facebook.com/profile.php?id=100014593814604,https://twitter.com/CEDIMAC1,,,
org35,Centro de Derechos Humanos de la Montaña Tlachinollan,ONG,México,Guerrero,,,,,https://www.tlachinollan.org/,,,,,
org36,Centro de Derechos Humanos de las Mujeres (CEDEHM),ONG,México,Chihuahua,,,,,https://cedehm.org.mx/es/,,,,,
org37,Centro de Derechos Humanos Juan Gerardi A.C.,ONG,México,Coahuila,Torreón,"Torre de Cristo 333 27085 Torreón, Coahuila de Zaragoza, México",87-17-20-83-35,cdhgerardi@gmail.com,,https://www.facebook.com/DHGerardi,,,,
org38,Centro de Derechos Humanos Miguel Agustín Pro Juárez (Centro Prodh),ONG,México,Ciudad de México,,"Serapio Rendón 57B, Col. San Rafael, México, D.F.",55-55-46-82-17,prodh@sjsocial.org,https://centroprodh.org.mx/,https://www.facebook.com/prodh/ https://twitter.com/centroprodh?lang=es,,,,
org39,Centro de Derechos Humanos Paso del Norte A.C,ONG,México,Chihuahua,Ciudad Juárez,"Calle Independencia No. 7073, Colonia Lino Vargas y Raymundo Chavez Perez",65-61-70-42-03,cdhpasodelnorte@hotmail.com,https://cdhpasodelnorte.blogspot.com/,https://twitter.com/CdhPasodelNorte?lang=es,,,,
org40,Centro de Derechos Humanos Toaltepeyolo,ONG,México,Veracruz,Orizaba,"Oriente 8 405B, Centro, 94300 Orizaba, Ver., Mexico",27-21-06-93-41,toaltepeyolo@gmail.com,http://www.toaltepeyolo.org/contacto.php,https://www.facebook.com/toaltepeyolo/,,,,
org41,Centro de Justicia para la Paz y el Desarrollo (CEPAD),ONG,México,Jalisco,,"Calle Garibaldi 641, Zona Centro 44100 Guadalajara, Jalisco, México",33-36-13-40-66,comunicacion@cepad.org.mx,https://cepad.org.mx/,https://www.facebook.com/CEPAD.GDL/,,,,
org42,Centro para los Derechos Humanos Fray Juan de Larios,ONG,México,Coahuila,,,,,https://frayjuandelarios.mx/,,,,,
org43,Centro Universitario por la Dignidad y la Justicia Francisco Suárez (ITESO),Academia,México,Jalisco,San Pedro Tlaquepaque,"Anillo Perif. Sur Manuel Gómez Morín 8585, Iteso, 45604 San Pedro, Tlaquepaque, Jal. Mexico",33-36-69-34-34,contacto@iteso.mx,"
http://iteso.mx/",https://www.facebook.com/DHDignidadyJusticiaITESO/,,,,
org44,Ciudadanos en Apoyo a los Derechos Humanos (CADHAC),ONG,México,Nuevo León,Monterrey,"Vancouver 156, Vista Hermosa, Monterrey, Nuevo León, NL CP 64620, México",81-83-43-50-58,cadhac@cadhac.org,https://cadhac.org/,https://www.facebook.com/cadhac,,,,
org45,Club Amigo Siempre de la 78 inc.,ONG,US,New York,Queens,"35-47Junction Blvd Corona, Queens, NY",(+1) 917-415-7680,viniciosegarra@hotmail.com,,https://www.facebook.com/Friendsforeverof78Inc/,,,,
org46,Coimté Contra la Desaparición Forzada de la ONU,OrganismoInternacional,México,,,"Quai Wilson 47, 1201 Genève, Switzerland",,ohchr-ced@un.org,https://hchr.org.mx/cajas_herramientas/comite-contra-la-desaparicion-forzada/,https://twitter.com/UNTreatyBodies,,,,
org47,Colectivo 21 de mayo,Colectivo,México,Tamaulipas,,,,,,https://www.facebook.com/Colectivo-21-de-Mayo-319337554889214/,,,,
org48,Colectivo Buscando Cuerpos,Colectivo,México,Guerrero,,,,,,https://twitter.com/buscandocuerpos,,,,
org49,Colectivo Buscando Cuerpos,Colectivo,México,Michoacán,,,,,,https://twitter.com/buscandocuerpos,,,,
org50,Colectivo Buscando Cuerpos,Colectivo,México,Estado de México,,,,,,https://twitter.com/buscandocuerpos,,,,
org51,Colectivo Buscando Cuerpos,Colectivo,México,Veracruz,,,,,,https://twitter.com/buscandocuerpos,,,,
org52,Colectivo Buscando Cuerpos,Colectivo,México,Tamaulipas,,,,,,https://twitter.com/buscandocuerpos,,,,
org53,Colectivo Buscando Cuerpos,Colectivo,México,Morelos,,,,,,https://twitter.com/buscandocuerpos,,,,
org54,Colectivo Buscando Cuerpos,Colectivo,México,Puebla,,,,,,https://twitter.com/buscandocuerpos,,,,
org55,Colectivo Buscando Cuerpos,Colectivo,México,Quintana Roo,,,,,,https://twitter.com/buscandocuerpos,,,,
org56,Colectivo Buscando Cuerpos,Colectivo,México,Coahuila,,,,,,https://twitter.com/buscandocuerpos,,,,
org57,"Colectivo Buscando Personas, Verdad y Justicia",Colectivo,México,Aguascalientes,,,44-91-55-63-24,zurdyyux@gmail.com,,https://www.facebook.com/ColectivoBuscandoPersonasVerdadyJusticiaAgs/,,,,
org58,Colectivo Búsqueda Coatzacoalcos Zona Sur (Veracruz),Colectivo,México,Veracruz,,,,,,https://www.facebook.com/groups/1018456781523072/about,,,,
org59,Colectivo Con Justicia y Esperanza de San Luis de la Paz,Colectivo,México,Guanajuato,,,46-81-01-37-17,,,https://www.facebook.com/Colectivo-justicia-y-esperanza-110139417358063/,https://twitter.com/colectivojusti1,,,
org60,Colectivo de Búsqueda en Baja California,Colectivo,México,Baja California,,,66-48-22-35-29,olimar1654@gmail.com,,https://www.facebook.com/mifamiliamebusca/,,,,
org61,Colectivo de Familiares de Desaparecidos,Colectivo,México,Jalisco,,,,colectivo.cfd.zapotlán@gmail.com,,https://www.facebook.com/Colectivo-de-familiares-Desaparecidos-104433885049273/,,,,
org62,"Colectivo de Familiares de Desaparecidos y Asesinados, Chilpancingo Gro",Colectivo,México,Guerrero,Chilpancingo,,,colectivo_chilpancingo@hotmail.com,,https://www.facebook.com/Colectivo-de-Familiares-de-Desaparecidos-y-Asesinados-Chilpancingo-Gro-560760454313961/,https://twitter.com/Col_FDAChilpo,,,
org63,Colectivo de Familiares y Amigos Desaparecidos en Tamaulipas,Colectivo,México,Tamaulipas,,,,,http://dis.ibero.mx/grupos/2017o/dint3/equipo01/index.php,,,,,
org64,Colectivo Desaparecidos y Desplazados Nacional,Colectivo,México,,,,22-88-35-49-84,,,https://www.facebook.com/Colectivo-Desaparecidos-y-Desplazados-Nacional-104436134640149/,,,,
org65,Colectivo el Solecito de Veracruz,Colectivo,México,Veracruz,,,,,,https://www.facebook.com/Lucidige/,,,,
org66,Colectivo familias unidas por una búsqueda incansable,Colectivo,México,Nayarit,,,,,,https://www.facebook.com/Colectivo-familias-unidas-por-una-b%C3%BAsqueda-incansable-105328284174421/?ref=page_internal,,,,
org67,Colectivo Feminista Orquídeas de Morelos,Colectivo,México,Morelos,,,,,,,,,,
org68,Colectivo Hasta Encontrarles CDMX,Colectivo,México,Ciudad de México,,,,,,https://www.facebook.com/Hasta-Encontrarles-CDMX-2311164475668971/,,,,
org69,Colectivo Madres Luna,Colectivo,México,Veracruz,,,27-11-14-29-58,colectivomadresluna@gmail.com,,https://www.facebook.com/Colectivo-Madres-Luna-108024044136301/,,,,
org70,Colectivo Mujer y Utopía,ONG,México,Tlaxcala,Tlaxcala De Xicohténcatl,,24-64-66-85-54,direccion@mujeryutopia.org,https://mujeryutopia.org/,https://www.facebook.com/colectivo.mujerutopia/,,,,
org71,Colectivo Oaxaqueños Unidos Exigiendo Justicia,Colectivo,México,Oaxaca,,,,,,https://www.facebook.com/desaparecidxsoaxaca/,,,,
org72,Colectivo por la Paz Veracruz,Colectivo,México,Veracruz,,,22-81-19-70-77,colectivopazxalapa@hotmail.com,,https://www.facebook.com/ColectivoPazXalapa/,,,,
org73,Colectivo por Nuestros Corazones,Colectivo,México,Nayarit,,,,,,,,,,
org74,Colectivo Raúl Trujillo Herrera Por Los Desaparecidos en Guerrero,Colectivo,México,Guerrero,,,74-72-19-63-22,colectivoraultrujillo@gmail.com,,https://www.facebook.com/profile.php?id=100063967274750,,,,
org75,Colectivo Solecito de Veracruz,Colectivo,México,Veracruz,,,22-82-83-70-89,rocatoss35@hotmail.com,,https://www.facebook.com/Lucidige/,,,,
org76,Colectivo Solidario Búsqueda de Desaparecidos A.C. División Colima,Colectivo,México,Colima,,,,keniamandujano50@gmail.com,,https://www.facebook.com/Colectivo-Solidario-B%C3%BAsqueda-de-Desaparecidos-AC-Divisi%C3%B3n-Colima-110434097483970/,,,,
org77,Colectivo Todos Somos Erick Carrillo,Colectivo,México,Baja California,,,66-41-18-25-21,karlapdbenson@gmail.com,,https://www.facebook.com/TodosSomosErickCarrillo/,,,,
org78,Colectivos Unidos por los Desaparecidos de Baja California,Colectivo,México,Baja California,,,66-41-18-25-21,karlapdbenson@gmail.com,,https://www.facebook.com/Colectivos-Unidos-por-los-Desaparecidos-de-Baja-California-105784151315594/,,,,
org79,Colibrí Center ,ONG,US,Arizona,Tuscon,"738 North 5th Avenue, Suite 235 Tucson, AZ 85705",(+1) 520-724-8644,info@colibricenter.org,https://colibricenter.org,https://www.facebook.com/colibricenterforhumanrights,,,,
org80,Comisión de Búsqueda de Personas de la Ciudad de México,GobiernoLocal,México,Ciudad de México,,"República de Cuba 43, Colonia Centro, Alcaldía Cuauhtémoc, C.P. 06010, Ciudad de México",55-91-31-46-05,comisionbusquedadepersonas@cd mx.gob.mx,https://comisiondebusqueda.cdmx.gob.mx/,https://www.facebook.com/cbusquedacdmx,https://twitter.com/busqueda_cdmx,,,
org81,Comisión de Búsqueda de Personas de Michoacán,GobiernoLocal,México,Michoacán,,"C. P.º del Cedro 156, Prados Verdes, 58110 Morelia, Mich., México",44-36-88-99-74,cobusquedamich@gmail.com,,https://www.facebook.com/BusquedaMich/,,,,
org82,Comisión de Búsqueda de Personas de Yucatán,GobiernoLocal,México,Yucatán ,,"Palacio de Gobierno, Calle 61 * 60 y 62, Centro, CP 97000, Mérida, Yucatán",99-99-30-31-00,karla.quintal@yucatan.gob.mx,,,,,,
org83,Comisión de Búsqueda de Personas del Estado de Colima,GobiernoLocal,México,Colima,,"León Felipe 126, Lomas Verdes, 28017 Colima, Col., México",31-23-23-51-65,comision.busqueda.col@gmail.com,https://www.col.gob.mx/Busquedapersonas?fbclid=IwAR2mGqaTU8BlODeXGwATTg2AMKfbBMitDKe9_dSRI7cf3S38q2uJGG_Auw8,https://www.facebook.com/profile.php?id=100069024285988,,,,
org84,Comisión de Búsqueda de Personas del Estado de Hidalgo,GobiernoLocal,México,Hidalgo,,"Blvd. Felipe Ángeles #102, 2 piso, Col. Santa Julia. Pachuca de Soto, Hidalgo c.p. 42080",77-17-17-60-00,comisiondebusqueda@hidalgo.gob .mx,,https://www.facebook.com/ComisiondeBusquedaChihuahua,https://twitter.com/cbpehidalgo,,,
org85,Comisión de Búsqueda de Personas del Estado de México,GobiernoLocal,México,Estado de México ,,"Matlazincas 660, La Teresona, 50040 Toluca de Lerdo, Méx., México",80-02-16-03-61,cobupem@edomex.gob.mx ,https://cobupem.edomex.gob.mx/quienes-somos,https://twitter.com/COBUPEM,,,,
org86,Comisión de Búsqueda de Personas del Estado de Morelos,GobiernoLocal,México,Morelos,,"Av Atlacomulco 142, Cantarranas, 62440 Cuernavaca, Mor., México",77-73-10-18-90,comisiondebusqueda@morelos.gob.mx,,https://www.facebook.com/búsquedamorelos/,,,,
org87,Comisión de Búsqueda de Personas del Estado de Puebla,GobiernoLocal,México,Puebla,,"Atlixcáyotl 1101, 4 piso, Reserva Territorial Atlixcáyotl, Geovillas Atlixcayotl, Puebla, Pue., México",22-22-46-38-30,comision.d.b.pue@gmail.com,http://cbpep.puebla.gob.mx/,https://www.facebook.com/busquedagobpue/,https://twitter.com/busquedagobpue,,,
org88,Comisión de Búsqueda de Personas del Estado de Quintanta Roo,GobiernoLocal,México,Quintana Roo ,,"Av. Tulum número 22 y 23 Supermanzana 2, Manzana 13, segundo piso, cp. 77500 Cancún, Quintana Roo",98-38-67-93-49,"luz.gonzalez@qroo.gob.mx 
comisiondebusqueda@qroo.gob.mx
cbp.qroo@gmail.com",https://qroo.gob.mx/index2.php/segob/cbpeqroo,https://www.facebook.com/groups/CBPEQROO/,https://twitter.com/busqueda_qroo,,,
org89,Comisión de Búsqueda del Estado de Coahuila de Zaragoza,GobiernoLocal,México,Coahuila,,"C. Hidalgo 412, Zona Centro, 25000 Saltillo, Coah., México",84-41-14-03-97,cdebusquedacoahuila@gmail.com,,https://www.facebook.com/COMISIONBECOAHUILA/,https://twitter.com/cbecoahuila?fbclid=IwAR2kukg_PoFeCxMhtj9e0uDAGtMbDuBM8kbqLEeeVu_A82Fi4qg03ytTmVs,,,
org90,Comisión de Promoción y Defensa de Derechos Humanos,ONG,México,Ciudad de México,Cuauhtémoc,"Tehuantepec 142, Roma Sur. Cuauhtémoc, 06760 Ciudad de México, CDMX",55-55-64-25-82,info@cmdpdh.org,https://cmdpdh.org/,https://www.facebook.com/cmdpdh,https://twitter.com/cmdpdh,,,
org91,Comisión Estatal de Búsqueda de Personas de Aguascalientes,GobiernoLocal,México,Aguascalientes,,"Palacio de Gobierno, Plaza de la Patria s/n, Zona Centro, CP 20000, Aguascalientes",44-92-79-38-91,juan.hernandezo@aguascalientes.gob.mx,,https://www.facebook.com/CEPBAguascalientes/,,,,
org92,Comisión Estatal de Búsqueda de Personas de Baja California,GobiernoLocal,México,Baja California,,"Calle Perimetral (Canada) #7125, 3a. Etapa, Zona Urbana Rio Tijuana, 22226 Tijuana, B.C., México",66-42-10-03-65,búsquedabc@baja.gob.mx,,https://www.facebook.com/bc.cebp/,,,,
org93,Comisión Estatal de Búsqueda de Personas de BCS,GobiernoLocal,México,Baja California Sur,,"Calle Ignacio Altamirano, Local número 163, entre 5 de Febrero y Cuauhtémoc, C.P. 23060, Col. Pueblo Nuevo, La Paz, B.C.S",61-21-38-14-39,busqueda.personas@bcs.gob.mx ,sgg.bcs.gob.mx ,https://www.facebook.com/profile.php?id=100064486765448,,,,
org94,Comisión Estatal de Búsqueda de Personas de Durango,GobiernoLocal,México,Durango,,"Profra. Francisca Escárzaga 208, Col del Maestro, 34240 Durango, Dgo., México",61-81-37-96-89,búsquedadepersonas@durango.go b.mx,,https://m.facebook.com/BusquedaPersonasDurango,,,,
org95,Comisión Estatal de Búsqueda de Personas de Guanajuato,GobiernoLocal,México,Guanajuato,,"Subterranea, Zona Centro, 36000 Guanajuato, Gto., México",47-31-39-64-57,búsquedadepersonassg@guanajua to.gob.mx,https://sg.guanajuato.gob.mx/index.php/comision-estatal-de-busqueda-de-personas/,,,,,
org96,Comisión Estatal de Búsqueda de Personas de Guerrero,GobiernoLocal,México,Guerrero,,"Boulevartd Rene Juárez Cisneros 62, piso 2. Edificio Norte, Colonia Ciudad de los Servicios, Chilpancingo de los Bravo, Guerrero, C.P. 39074.",74-71-39-88-46,cebp.gro@gmail.com,,https://www.facebook.com/BusquedaGuerrero,,,,
org97,Comisión Estatal de Búsqueda de Personas de Jalisco,GobiernoLocal,México,Jalisco,,"Calz de las Palmas 30, La Aurora, 44790 Guadalajara, Jal., México",33-15-14-54-22,comisiondebusqueda@jalisco.gob.mx,https://sgg.jalisco.gob.mx/comision-estatal-de-búsqueda-personas-desaparecidas,https://www.facebook.com/búsquedaJal/ ,,,,
org98,Comisión Est​​atal de Búsqueda de Personas de San Luis Potosí,GobiernoLocal,México,San Luis Potosí,Planta Alta,"Jdn. Hidalgo 11, Centro Historico, 78000 San Luis, S.L.P., México",44-41-44-26-08,,https://slp.gob.mx/sgg/Paginas/búsquedadePersonas.aspx,,,,,
org99,Comisión Estatal de Búsqueda de Personas de Sinaloa,GobiernoLocal,México,Sinaloa,,"Av. Pascual Orozco 1949, esq. Con Bahía de Altamira, fraccionamiento Nuevo Culiacán, Culiacán, México",66-71-84-12-56,cebpd@sinaloa.gob.mx,,https://www.facebook.com/cebpdsinaloa,,,,
org100,Comisión Estatal de Búsqueda de Personas de Sonora,GobiernoLocal,México,Sonora,,"C. Comonfort SN-S, El Centenario, 83260 Hermosillo, Son., México",66-21-40-49-74,comisiondebusquedasonora@sonora.gob.mx,,https://www.facebook.com/ComisionSonora,,,,
org101,Comisión Estatal de Búsqueda de Personas de Tabasco,GobiernoLocal,México,Tabasco,,"Av Samarkanda, Bonanza, 86030 Villahermosa, Tab., México",99-33-16-67-85,"comisiondebusqueda@tabasco.gob.mx 
eduardocruz@tabasco.gob.mx",https://tabasco.gob.mx/cebp,,,,,
org102,Comisión Estatal de Búsqueda de Personas de Tamaulipas,GobiernoLocal,México,Tamaulipas,,"Av. Jose Sulaimán Chagnón entronque con libramiento Naciones Unidas #641 C.P 87039 Ciudad Victoria, Tamaulipas, México",83-46-88-50-75,cebtamaulipas@tam.gob.mx,,https://www.facebook.com/profile.php?id=100064843414092,,,,
org103,Comisión Estatal de Búsqueda de Personas de Veracruz,GobiernoLocal,México,Veracruz,,"Calle Revolución 11, Interior 102, Zona Centro, CP. 91000, Xalapa, Veracruz",22-83-19-31-87,busqueda.veracruz@gmail.com,segobver.gob.mx/cebv ,https://www.facebook.com/CEBVeracruz,,,,
org104,Comisión Estatal de Búsqueda de Personas del Estado de Tlaxcala,GobiernoLocal,México,Tlaxcala,,"Calle del Árbol #4, Atempa, C.P.90000, Tlaxcala",22-29-20-73-62,cedp.segob@tlaxcala.gob.mx,https://cebp.tlaxcala.gob.mx/,https://www.facebook.com/CEBPTlax/,,,,
org105,Comisión Estatal de Búsqueda de Personas Desaparecidas en el Estado de Nayarit,GobiernoLocal,México,Nayarit,,"Calle prolongación Churubusco número 156 esquina con ejido, Col Santa Teresita",31-12-16-14-01,cebp@nayarit.gob.mx,,https://www.facebook.com/profile.php?id=100064360975539,,,,
org106,Comisión Estatal de Búsqueda en el Estado de Chiapas,Gobierno Local,México,Chiapas,,"Palacio de Gobierno, 2do piso, Código Postal: 29000 Colonia Centro, Tuxtla Gutiérrez, Chiapas",96-16-88-86-68,"comision.cebp.chiapas@gmail.com 
busqueda@cebp.chiapas.gob.mx",https://www.cebp.chiapas.gob.mx/,https://www.facebook.com/cebp.chiapas,,,,
org107,Comisión Local de Búsqueda de Personas del Estado de Campeche,Gobierno Local,México,Campeche,,"Av Miguel Alemán # 168 entre 48 b y 49 c, local 1 barrio de Guadalupe, San Francisco de Campeche C.P 24010",98-18-11-03-46,combuspercam@segobcampeche.gob.mx,,https://www.facebook.com/combuspercam,,,,
org108,Comisión Local de Búsqueda de Personas del estado de Querétaro,Gobierno Local,México,Querétaro,,"Fray Sebastián Gallegos 73, El Pueblito, 76900 El Pueblito, Qro., México",4422252811 Ext: 1023; 1024,lcedillo@queretaro.gob.mx,,,,,,
org109,Comisión Local de Búsqueda de Personas del estado de Zacatecas,Gobierno Local,México,Zacatecas,,"Av García Salinas 29, El Carmen, 98608 Guadalupe, Zac., México",49-21-45-22-64,clbzac@gmail.com,,https://www.facebook.com/Comisiondebúsquedazac/,https://twitter.com/ComisinDeBsque1,,,
org110,Comisión Local de Búsqueda de Personas Desaparecidas de Nuevo León,Gobierno Local,México,Nuevo León,,"C. Washington 2000, Obrera, Obrera, 64000 Monterrey, N.L., México",81-20-33-26-56,comisiondebúsqueda@nuevoleon.gob.mx,,https://www.facebook.com/CLDBPNL,,,,
org111,Comisión Local de Búsqueda en el Estado de Chihuahua,Gobierno Local,México,Chihuahua,,"Calle Privada de Simon Bolivar #800, Col. Centro, C.P. 31000, Cd. Chihuahua, Chih",6144293300 Ext. 11343,fedh@chihuahua.gob.mx,http://comisiondebusqueda.chihuahua.gob.mx/,https://www.facebook.com/ComisiondeBusquedaChihuahua,https://twitter.com/combusquedacuu,,,
org112,Comisión Mexicana de Defensa y Promoción de los Derechos Humanos (CMDPDH),ONG,México,Ciudad de México,,"Tehuantepec 142, Roma Sur, Cuauhtémoc, 06760 Ciudad de México, CDMX, Mexico",55-55-64-25-82,info@cmdpdh.org,https://cmdpdh.org/,https://www.facebook.com/cmdpdh,https://twitter.com/CMDPDH,,,
org113,"Comisión Mexicana de Defensa y Promoción de los Derechos Humanos, A.C. (CMDPDH) ",ONG,México,,,"Tehuantepec 142, Roma Sur, Cuauhtémoc, 06760 Ciudad de México, CDMX, Mexico",55-55-64-25-82,info@cmdpdh.org,https://cmdpdh.org/,https://www.facebook.com/cmdpdh,https://twitter.com/cmdpdh,,,
org114,Comisión Nacional de Búsqueda,Gobierno Federal,México,Nacional,,,55-13-09-90-24,,https://comisionnacionaldebúsqueda.com/,https://twitter.com/búsqueda_MX,,,,
org115,Comisión Nacional de los Derechos Humanos (CNDH),Gobierno Federal,México,Ciudad de México,,"Periférico Sur 3469, Col. San Jerónimo Lídice, Magdalena Contreras, C.P. 10200.",,,https://www.cndh.org.mx/,https://www.facebook.com/CNDHmx,https://twitter.com/CNDH,,,
org116,Comité Cerezo de México,ONG,México,Ciudad de México,,"Volcán Kiska, Mirador 3ra Secc, Tlalpan, 14449 Ciudad de México, CDMX, México",55-10-47-20-31,comitecerezo@nodo50.org,https://www.comitecerezo.org/?lang=es,https://www.facebook.com/ComiteCerezoDH/,,,,
