pid,orden,label,document_category,document_ type,intended_audience,creator_s,year ,summaryESP,summaryEN,source,,Contacto para pedir permiso,BRU contact,Status of permission,Permission in folder ,,,Official description
doc011,11,Guía del Buen Brigadista. 5a Brigada Nacional de Búsqueda de Personas Desaparecidas en el Norte de Veracruz,Herramientas para la búsqueda,Guía Brigada de Búsqueda,Recurso para colectivos y personas buscadoras,Brigada Nacional de Búsqueda de Personas Desaparecidas,2020,Guía para familiares y personas solidarias participantes en la 5a Brigada Nacional de Búsqueda de Personas Desaparecidas en Veracruz en 2020.,Guide for family members and people working in solidarity participating in the 5th National Brigade in Search for the Disappeared in Veracruz in 2020.,Brigada Nacional de Búsqueda de Personas Desaparecidas ,,Montserrat Castillo: moncastillop@gmail.com,Jordan,Approved,YES,,,Guía interna y logística para buscadores
doc012,12,Guía del Buen Brigadista. 6a Brigada Nacional de Búsqueda de Personas Desaparecidas en Morelos,Herramientas para la búsqueda,Guía Brigada de Búsqueda,Recurso para colectivos y personas buscadoras,Brigada Nacional de Búsqueda de Personas Desaparecidas,2021,Guía para familiares y personas solidarias participantes en la 6a Brigada Nacional de Búsqueda de Personas Desaparecidas en Morelos en 2021.,Guide for family members and people working in solidarity participating in the 6th National Brigade in Search for the Disappeared in Morelos in 2021.,Brigada Nacional de Búsqueda de Personas Desaparecidas ,,Montserrat Castillo: moncastillop@gmail.com,Jordan,Approved,YES,,,Guía interna y logística para buscadores
doc013,13,Fanzines Bilingues sobre la Brigada Nacional de Búsqueda de Personas Desaparecidas. ,Herramientas para la búsqueda,Fanzines sobre la Brigada Nacional de Búsqueda de Personas Desaparecidas,Recurso para colectivos y personas buscadoras,Brigada Nacional de Búsqueda de Personas Desaparecidas,2021,"Tríptico de fanzines bilingües sobre la Brigada Nacional de Búsqueda de Personas Desaparecidas, su historia, metodologías y un testimonio.","Triptych of bilingual zines on the National Brigade in Search for the Disappeared, its history, methodologies and one testimony.",https://drive.google.com/drive/u/1/folders/1cqTFOPUVRHcR-96An98Eu2MVU2wH_MrA,,Montserrat Castillo: moncastillop@gmail.com,Jordan,Approved,YES,,,Tres fanzines que buscan contextualizar el trabajo de la Brigada Nacional de Búsqueda de Personas Desaparecidas en México
doc016,16,Manual de acciones frente a la desaparición y la desaparición forzada. Orientaciones para las familias mexicanas de personas desaparecidas,Herramientas para la búsqueda,Manual de acciones desaparición forzada,Personas buscadoras. Recuros sobre antropología forense y búsqueda de personas desaparecidas,Universidad Iberoamericana,2019,Manual que busca proporcionar herramientas para familias mexicanas que han sido afectadas por la desaparición forzada de sus seres queridos.,Manual that seeks to provide tools for Mexican families who have been affected by the forced disappearance of their loved ones.,https://programadh.ibero.mx,,Programa de Derechos Humanos de la Ibero: derechos.humanos@ibero.mx,Camila,Approved,Yes,,,"El presente manual ha sido elaborado con la intención de proporcionar herramientas prácticas a las familias mexicanas que han visto sus vidas profundamente trastocadas por el flagelo de la desaparición y la desaparición forzada; herramientas que, si bien limitadas, esperamos les sean útiles en la lucha que día con día emprenden digna y valerosamente a favor de sus seres queridos. Esperamos que con este material se sientan acompañados y acompañadas en su caminar contra la impunidad y el silencio; en su lucha a favor de la verdad, la justicia y la reparación."
doc017,17,El Amparo Buscador: Una Herramienta contra la Desaparición Forzada de Personas. Guía para Familiares y Personas Juzgadoras,Herramientas para la búsqueda,Guía sobre el Amparo Buscador,Recurso para colectivos y personas buscadoras y para sensibilizar a servidores públicos,Comisión Nacional de Búsqueda y USAID,2021,Guía para ayudar a navegar el complicado proceso legal de obtener un amparo buscador para personas desaparecidas por autoridades.,"Guide to help navigate the legal process of obtaining an amparo, equivalent to a writ of habeas corpus, for people disappeared by authorities.",https://comisionnacionaldebusqueda.com/publicaciones/,,Documento público,Jordan,N/A,,,,"Los desafíos que enfrenta México en materia de desaparición de personas han generado varias respuestas institucionales y jurídicas. Entre estas destaca lo que se conoce informalmente como “amparo buscador”. A través de él, un juez o una jueza busca a la persona desaparecida forzadamente al ordenar a otra autoridad no sólo que dé información, sino que presente a la persona en su poder. Sin embargo, se conoce muy poco sobre la importancia y los alcances de esta herramienta, así como la forma de utilizarla. Por esa razón, la CNB ha construido una guía principalmente para las personas buscadoras, con la finalidad de brindar información clara sobre lo que se puede hacer con el amparo buscador y cómo solicitarlo. Igualmente, busca difundir estas herramientas entre juezas y jueces para su implementación en casos de desaparición forzada. "
doc018,18,El ABC del Análisis de Contexto. Herramientas básicas del análisis de contexto orientado a la búsqueda de personas desaparecidas.,Herramientas para la búsqueda,Guía sobre Análisis de Contexto,Recurso para colectivos y personas buscadoras y para sensibilizar a servidores públicos,Comisión Nacional de Búsqueda,2021,"Guía para análisis de contexto en la búsqueda, incluyendo el análisis geográfico, cultural, económico, político, histórico y social.","Guide for context analysis during the search, including geographical, cultural, economic, political, historical and social analysis.",https://comisionnacionaldebusqueda.com/publicaciones/,,Documento público,Jordan,N/A,,,,"En México, el análisis de contexto es una metodología relativamente reciente, y si bien existen experiencias previas en el uso de esa herramienta, estas se remiten principalmente al derecho penal internacional, y su uso se ha orientado principalmente a la investigación de corte criminal. Por lo anterior y con el interés de recuperar y sistematizar experiencias nacionales sobre el uso del contexto para la búsqueda de personas, la Comisión Nacional diseñó esta Guía  dirigida principalmente a las y los servidores públicos de las Comisiones de Búsqueda, aunque sus contenidos pueden ser aprovechados por cualquier persona interesada en realizar y conocer este tipo de análisis."
doc019,19,Ley general de víctimas,Herramientas para la búsqueda,Ley,Recurso legal para personas buscadoras,Gobierno de México,2013,"Ley que establece medidas judiciales, administrativas, sociales y económicas en beneficio de las víctimas de la violencia en México.","Law that establishes judicial, administrative, social and economic measures for the benefit of victims of violence in Mexico.",https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwiqw-vcjs71AhVyS98KHeL-BdMQFnoECCYQAQ&url=https%3A%2F%2Fwww.gob.mx%2Fcms%2Fuploads%2Fattachment%2Ffile%2F112957%2FLey_General_de_Victimas.pdf&usg=AOvVaw02hBsrKjPMntfLdrQ578kj,,Documento público,Camila,N/A,Not needed,,,"La presente Ley obliga, en sus respectivas competencias, a las autoridades de todos los ámbitos de gobierno, y de sus poderes constitucionales, así como a cualquiera de sus oficinas, dependencias, organismos o instituciones públicas o privadas que velen por la protección de las víctimas, a proporcionar ayuda, asistencia o reparación integral. Además, reconoce y garantiza los derechos de las víctimas del delito y de violaciones a derechos humanos, en especial el derecho a la asistencia, protección, atención, verdad, justicia, reparación integral, debida diligencia y todos los demás derechos consagrados en ella, en la Constitución, en los Tratados Internacionales de derechos humanos de los que el Estado Mexicano es Parte y demás instrumentos de derechos humanos."
doc020,20,"Ley General en Materia de Desaparición Forzada de Personas, Desaparición Cometida por Particulares y del Sistema Nacional de Búsqueda de Personas",Herramientas para la búsqueda,Ley,Recurso legal para personas buscadoras,Gobierno de México,2017,"Ley cuyo propósito es prevenir y atender las consecuencias de la desaparición, así como responder a las necesidades de las familias.","Law whose purpose is to prevent and address the consequences of disappearance, as well as to respond to the needs of the families.",https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiv17q-j871AhXjQ98KHUg8CSwQFnoECAwQAw&url=https%3A%2F%2Fwww.diputados.gob.mx%2FLeyesBiblio%2Fpdf%2FLGMDFP_200521.pdf&usg=AOvVaw1khsKahsC7n88NT0BTupWV,,Documento público,Camila,N/A,Not needed,,,"La Ley tiene el propósito de prevenir, investigar, sancionar y erradicar los delitos de desaparición forzada y por particulares; así como establecer mecanismos de coordinación y distribución de competencias para buscar a las personas desaparecidas y esclarecer el paradero de las mismas garantizando la protección integral de los derechos de las víctimas."
doc021,21,Protocolo Homologado para la Búsqueda de Personas Desaparecidas y No Localizadas,Herramientas para la búsqueda,Protocolo,Recurso legal para personas buscadoras,Comisión Nacional de Búsqueda y USAID,2021,Protocolo que destaca las obligaciones que las diferentes autoridades tienen en la búsqueda de las personas desaparecidas.,Protocol highlighting the obligations that different authorities have during the search for the disappeared.,https://comisionnacionaldebusqueda.com/protocolo-homologado-de-busqueda/,,Documento público,Camila,N/A,Not needed,,,"Luego de un proceso ampliamente participativo en el que participaron familiares de personas desaparecidas, representantes y personas expertas nacionales e internacionales, así como diversas autoridades federales y estatales, el Sistema Nacional de Búsqueda aprobó, por mayoría, el Protocolo Homologado para la Búsqueda de Personas Desparecidas y No Localizadas (PHB), el cual fue publicado el 6 de octubre de 2020, y destaca las obligaciones que las diferentes autoridades tienen en la búsqueda de las personas desaparecidas. El PHB entró en vigor el 6 de enero de 2021. La Comisión de Implementación, Monitoreo, Evaluación y Actualización del PHB ha sesionado constantemente para avanzar en la implementación del mismo. Además, se han llevado a cabo capacitaciones a personal de la CNB, Comisiones Locales de Búsqueda y a familiares de personas desaparecidas y representantes, policías y personal ministerial. Asimismo, se elaboró y aprobó la versión resumida del PHB para familiares."
doc022,22,Nos llaman las locas de las palas. El papel de las mujeres en la búsqueda de sus familiares desaparecidos,Voces desde la búsqueda,Testimonios e historias de búsqueda de mujeres buscadoras,Recopilación de testimonios sobre la búsqueda de personas para personas buscadoras y sensibilización de autoridades,Centro Prodh,2020,"Testimonios de 9 mujeres buscadoras describiendo las consecuencias económicas, físicas y psicológicas detonadas por la desaparición de sus familiares.","Testimonies of 9 women who search describing the economic, physical and psychological consequences triggered by the disappearance of their relatives.",https://centroprodh.org.mx/2020/05/10/pub-las-locas-de-las-palas/,,Meyatzin Velasco Santiago: educacion2@centroprodh.org.mx,Camila,Approved,Yes,,,"Al igual que durante las décadas de los sesenta a los ochenta del siglo pasado, la impunidad de las desapariciones ha sido enfrentada primordialmente por la resiliencia y la fuerza de las familias de las víctimas. A través de la organización en colectivos, la movilización, la búsqueda directa y la incidencia política, las familias han reconfigurado tanto el mapa de la sociedad civil organizada como la caracterización de las víctimas de violaciones a derechos humanos, han logrado que su voz se escuche y han señalado los puntos álgidos de la situación. Dentro del movimiento de familiares, las mujeres juegan el papel principal. Desde el Centro Prodh nos dimos a la tarea de entrevistar a nueve de ellas para conocer su experiencia ante el aparato de justicia, las consecuencias económicas, físicas y sicológicas que les ha traído la desaparición y la búsqueda y su papel como sujetas políticas. Los hallazgos, si bien no pueden ser tomados como un estudio sociológico –este material fue planteado como un reportaje– sí nos permiten a las organizaciones acompañantes, a la sociedad en general y al mismo movimiento de familias comenzar a dimensionar los impactos en las mujeres que buscan a quienes nos faltan a todos, apreciar el trabajo que hacen e imaginar formas de solidaridad con ellas y sus colectivos."
doc023,23,Nadie detiene el amor: historia de vida de familiares de personas desaparecidas en el Norte de Sinaloa,Voces desde la búsqueda,Testimonios e historias de búsqueda de buscadoras de Sinaloa,Recopilación de testimonios sobre la búsqueda de personas para personas buscadoras y sensibilización de autoridades,"Universidad Nacional Autónoma de México, Instituto de Investigaciones Jurídicas, GIASF, CIESAS, Hermanas en la Sombra, Buscadoras del Fuerte, Rastreadoras Fe y Esperanza y FUNDAR ",2020,Veinte historias que documentan las dificultades a las que se enfrentan las familias mientras buscan a sus seres queridos desaparecidos en Sinaloa.,Twenty stories capturing the hardships and conditions that families face while searching for their disappeared loved ones in Sinaloa.,https://www.giasf.org/publicaciones-del-giasf.html,,Carolina Robledo: carolina.robledo@ciesas.edu.mx o May-ek Querales: mayekerales@gmail.com,Jonathan,Approved ,Yes,,,"Después de un trabajo colaborativo de tres años, el GIASF publica junto a las buscadoras del Norte de Sinaloa, el Instituto de Investigaciones Jurídicas de la UNAM, el CIESAS, FUNDAR y la colectiva Hermanas en la Sombra, el libro ""Nadie detiene el amor: historia de vida de familiares de personas desaparecidas en el Norte de Sinaloa"" (2020). Los veinte relatos que compila este libro son el resultado de un trabajo de reflexión en torno a las condiciones históricas en que las y los buscadores sostienen sus vidas y las de sus familias. Narrativas que evocan formas de violencia y de resistencia continúas y marcadas por la diferenciación de género, edad, etnicidad y clase. A través del método de historias de vida, este libro pretende contribuir a la comprensión de la experiencia de la desaparición de personas ubicando la mirada más allá del acontecimiento violento."
doc024,24,Tinta para la memoria,Voces desde la búsqueda,Testimonios e historias de búsqueda de Veracruz,Recopilación de testimonios sobre la búsqueda de personas para personas buscadoras y sensibilización de autoridades,Fundación Heinrich Boll,2020,Una colección de testimonios que describen las huellas afectivas que sobreviven de las víctimas de desaparición en varias regiones de Veracruz.,A collection of testimonies describing the affective traces left behind by victims of disappearance in various regions of Veracruz.,https://mx.boell.org/es/2021/03/03/tinta-para-la-memoria,,mx-info@mx.boell.org,Jonathan,Approved ,Yes,,,"Este libro es producto de un acto de amor hacia las personas desaparecidas en el estado de Veracruz, un homenaje a sus vidas, al cariño que ofrecieron a sus familiares y amigos. Las personas que hoy les buscan desean tener una memoria impresa que dé cuenta de sus seres queridos, para darla a conocer a la sociedad en la que viven. Vale la pena recordar que estos hombres y mujeres desaparecidos y sus familiares son parte fundamental de nuestro país. Tinta para la memoria acoge siete relatos de personas que están desaparecidas desde hace tiempo, además de doce cartas y dos poemas que padres, hermanos e hijos escribieron para los seres que no están hoy con ellos. Los escritos que se presentan corresponden a 19 personas víctimas de desaparición en diversos municipios del estado de Veracruz entre 2010 y 2018. Seis de los siete relatos que abren este libro son fruto de entrevistas realizadas entre 2018 y 2019 con integrantes del grupo Buscando a nuestros desaparecidos y desaparecidas Veracruz, por la verdad y la justicia. El séptimo es un escrito biográfico sobre un maestro también desaparecido en el estado."
doc025,25,Memoria de un Corazón Ausente. Historias de Vida,Voces desde la búsqueda,Testimonios e historias de búsqueda de Coahuila,Recopilación de testimonios sobre la búsqueda de personas para personas buscadoras y sensibilización de autoridades,Fundación Heinrich Boll,2018,"Historias de vida de personas desaparecidas narradas por medio del trabajo de memoria de buscadoras, madres, esposas y hermanas en Coahuila.","Life histories of the disappeared as told through the memory work done by searching mothers, wives and sisters in Coahuila.",https://mx.boell.org/es/2018/05/09/memoria-de-un-corazon-ausente-historias-de-vida,,mx-info@mx.boell.org,Jonathan,Approved ,Yes,,,"Memoria de un corazón ausente. Historias de vida, es el resultado de un trabajo de recuperación de memoria que se realizó con doce mujeres que son madres, esposas y hermanas de personas desaparecidas en el estado de Coahuila. A la desaparición de una persona le sigue el que su vida se reduzca a ser una persona desaparecida. Con Memoria de un Corazón Ausente nos proponemos cambiar esta narrativa, resignificando la historia de personas desaparecidas en la voz de las mujeres que compartieron su cotidianeidad, a la luz del concepto búsqueda de vida."
doc026,26,No hay lugar en este país,Voces desde la búsqueda,Testimonios e historias de búsqueda de 13 familares,Recopilación de testimonios sobre la búsqueda de personas para personas buscadoras y sensibilización de autoridades,Fundar. Centro de Análisis e Investigación,2021,Narradas tras la desaparición 13 historias son testimonio de comunidades emergentes que comparten dolor y fuerza colectiva a través de la búsqueda.,"Told in the aftermath of disappearance, 13 stories act as testimony to emerging communities that share grief and collective strength through the search.",https://nohaylugarenestepais.mx/,,"Mariana Gurrola, Comunicación Fundar. comunicacion@fundar.org.mx",Jonathan,Approved,Yes,,,"13 autoras y autores, familiares de personas desaparecidas desafían el silenciamiento y abren espacio para escribir la narrativa desde sus voces. Las y los autores del libro “No hay lugar en este país” cuentan sobre la herida de la desaparición que abre un abismo, un antes y un después. El después de la guerra que penetra en las casas, rompe, arranca, y fractura. La desesperación y el tiempo que, detenido, parece una eternidad frente a la indolencia de quien no quiere recibir una denuncia porque está por acabar su turno. En estos relatos la crueldad se multiplica disfrazada de trámites burocráticos, oficios, diligencias mal hechas, restos humanos en bolsas de plástico. En “No hay lugar en este país” descubrimos historias habitadas por la esperanza de quienes han aprendido a vivir y a caminar de la mano, del amor inconmensurable de quien toma una pala para buscar y enterrar dignamente a las hijas y los hijos de este país herido."
